ticker	breakage	alternatives	qualification	cogs	capacity	chokepoint_score	chokepoint_tier
NEU US	5	5	5	5	5	25	Monopoly Chokepoint
5727 JP	5	4	5	4	5	23	Monopoly Chokepoint
5726 JP	5	4	5	4	5	23	Monopoly Chokepoint
LHX US	5	4	5	3	5	22	Monopoly Chokepoint
NOC US	5	4	5	3	5	22	Monopoly Chokepoint
MP US	4	4	4	5	5	22	Monopoly Chokepoint
PKE US	4	4	5	5	3	21	Monopoly Chokepoint
7013 JP	4	4	5	3	4	20	Duopoly Chokepoint
CHG LN	4	4	4	4	4	20	Duopoly Chokepoint
6762 JP	4	3	4	5	3	19	Duopoly Chokepoint
MTSI US	4	3	4	5	3	19	Duopoly Chokepoint
KRMN US	4	3	4	5	3	19	Duopoly Chokepoint
3402 JP	4	4	5	3	3	19	Duopoly Chokepoint
4063 JP	4	3	4	5	3	19	Duopoly Chokepoint
CRS US	4	3	5	3	4	19	Duopoly Chokepoint
HXL US	4	4	5	3	3	19	Duopoly Chokepoint
ATI US	4	3	5	3	4	19	Duopoly Chokepoint
USAR US	3	3	4	5	4	19	Duopoly Chokepoint
012450 KS	4	3	4	3	4	18	Duopoly Chokepoint
5631 JP	4	3	4	3	4	18	Duopoly Chokepoint
LMT US	5	3	5	1	4	18	Duopoly Chokepoint
R3NK GY	4	3	4	4	3	18	Duopoly Chokepoint
CW US	4	3	4	4	3	18	Duopoly Chokepoint
RTX US	5	3	5	1	4	18	Duopoly Chokepoint
MOG/A US	4	3	4	4	3	18	Duopoly Chokepoint
HWM US	4	3	4	4	3	18	Duopoly Chokepoint
RHM GY	4	3	3	3	4	17	Duopoly Chokepoint
7011 JP	3	3	5	2	4	17	Duopoly Chokepoint
TDY US	3	3	4	4	3	17	Duopoly Chokepoint
COHR US	3	3	4	4	3	17	Duopoly Chokepoint
RBC US	3	3	4	4	3	17	Duopoly Chokepoint
WWD US	3	3	4	4	3	17	Duopoly Chokepoint
QRVO US	3	3	4	5	2	17	Duopoly Chokepoint
3401 JP	4	3	4	3	3	17	Duopoly Chokepoint
000880 KS	3	3	3	4	3	16	Duopoly Chokepoint
6503 JP	3	3	4	3	3	16	Duopoly Chokepoint
272210 KS	3	3	4	3	3	16	Duopoly Chokepoint
KOG NO	3	3	4	3	3	16	Duopoly Chokepoint
BA/ LN	4	3	4	2	3	16	Duopoly Chokepoint
HO FP	3	3	4	3	3	16	Duopoly Chokepoint
GD US	4	3	4	2	3	16	Duopoly Chokepoint
MTX GY	3	3	4	3	3	16	Duopoly Chokepoint
RR/ LN	3	3	4	3	3	16	Duopoly Chokepoint
SGL GY	3	3	4	4	2	16	Duopoly Chokepoint
MRCY US	3	3	4	4	2	16	Duopoly Chokepoint
OLN US	3	3	3	4	3	16	Duopoly Chokepoint
BA US	4	3	4	3	2	16	Duopoly Chokepoint
AM FP	3	3	4	2	3	15	Oligopoly with Moat
DRS US	3	3	4	3	2	15	Oligopoly with Moat
KTOS US	3	2	3	4	3	15	Oligopoly with Moat
079550 KS	3	3	4	2	3	15	Oligopoly with Moat
SAABB SS	3	3	4	2	3	15	Oligopoly with Moat
HAG GY	3	3	4	3	2	15	Oligopoly with Moat
RKLB US	3	2	3	3	4	15	Oligopoly with Moat
003570 KS	3	3	3	3	2	14	Oligopoly with Moat
THEON NA	3	3	4	2	2	14	Oligopoly with Moat
HII US	3	3	4	2	2	14	Oligopoly with Moat
103140 KS	3	2	3	3	3	14	Oligopoly with Moat
EXA FP	3	3	4	2	2	14	Oligopoly with Moat
DCO US	3	2	3	4	2	14	Oligopoly with Moat
7012 JP	3	2	3	2	3	13	Oligopoly with Moat
LDO IM	3	2	3	2	3	13	Oligopoly with Moat
QQ/ LN	3	2	3	3	2	13	Oligopoly with Moat
047810 KS	3	2	3	2	3	13	Oligopoly with Moat
AVAV US	3	2	3	3	2	13	Oligopoly with Moat
042660 KS	2	3	3	2	2	12	Oligopoly with Moat
064350 KS	2	2	3	2	3	12	Oligopoly with Moat
APAM NA	2	2	3	3	2	12	Oligopoly with Moat
