ticker	chokepoint_score	chokepoint_tier	score	verdict	price	target	upside	spacex_confirmed	catalyst	risk_level	one_liner
ATRO	6	Commodity / Indirect	28	AVOID	69.05	N/A	N/A	Unverified	Commercial aero recovery	Medium	Commercial aero power/lighting; no confirmed SpaceX relationship; space <3% rev; zero chokepoint
HEI	11	Oligopoly with Moat	52	HOLD	274	N/A	N/A	Unverified	Aerospace aftermarket + defense	Low	Dominant PMA aftermarket maker; indirect/unverified SpaceX via ETG satellite subsystems; true moat is commercial aviation
DCO	10	Competitive / Linked	42	AVOID	131	N/A	N/A	Unverified	Missile production ramp	Medium	Mid-cap A&D tier-2; strong missile tailwinds but SpaceX unconfirmed; 85% SpaceX vertical integration limits opportunity
ATI	20	Duopoly Chokepoint	72	HOLD	151	N/A	N/A	Speculated	Ti supply crunch + $1B EBITDA	Medium	Dominant US aerospace alloy supplier (6/7 engine alloys, sole isothermal forger); structural chokepoint but stock 4x'd; SpaceX <1% rev
PH	11	Oligopoly with Moat	30	AVOID	906	N/A	N/A	Speculated	Aerospace segment growth	Low	Elite industrial compounder; no confirmed SpaceX; space <1% of $19.9B rev; $113B mkt cap too diversified
MOG.A	16	Duopoly Chokepoint	52	HOLD	300	N/A	N/A	Partial	Artemis + defense budgets	Medium	Tier-1 space actuator/valve maker; confirmed on Falcon 9 but Marotta Controls is SpaceX primary; Optimus unsubstantiated
VELO	14	Oligopoly with Moat	42	HOLD	13.21	N/A	N/A	Confirmed	Raptor 4 ramp + defense $32.6M	Very High	CONFIRMED SpaceX Raptor supplier (5 parts, 25 machines); but negative margins, near-bankruptcy, dilution risk
SIF	14	Oligopoly with Moat	22	AVOID	13.99	N/A	N/A	Unverified	Defense backlog growth	High	Micro-cap forger; lists "commercial space" but NO confirmed SpaceX; space rev -53%; SpaceX 3D-prints in-house
TDG	14	Oligopoly with Moat	43	HOLD	1175	N/A	N/A	Speculated	Aviation aftermarket supercycle	Low	Ultimate aerospace monopoly compounder; SpaceX vertical integration antithetical to TDG model; buy for aviation not rockets
GTLS	9	Competitive / Linked	18	AVOID	207	N/A	N/A	Unverified	Baker Hughes $210 takeout	Low	Cryo equipment leader but SpaceX builds own GSE tanks; being acquired by Baker Hughes; non-investable
FLTCF	17	Duopoly Chokepoint	74	BUY	2.64	N/A	N/A	Confirmed	Starlink Gen2/3 + £47.3M order	High	CONFIRMED SpaceX strategic partner; E-band GaN SSPAs for Starlink; £56.3M rev +121%; 63% GM; 83% customer concentration
HXL	18	Duopoly Chokepoint	58	HOLD	87	N/A	N/A	Probable	Widebody ramp + defense	Medium	Aerospace carbon fiber duopolist (with Toray); probable SpaceX supplier but immaterial revenue; Starship steel is headwind
CRS	19	Duopoly Chokepoint	65	HOLD	383	N/A	N/A	Probable	AM powder + jet engine ramp	Medium	Nickel superalloys + AM powder for 3D-printed rocket engines; 33% SAO margin; stock at 50x+ earnings already
MTRN	22	Monopoly Chokepoint	72	HOLD	162.47	N/A	N/A	Probable	Critical minerals + defense	Medium	Sole US beryllium producer (govt-backed monopoly); AlBeMet in 150+ satellites; but beryllium only $120M of $1.79B rev
PKE	12	Oligopoly with Moat	38	AVOID	26.38	N/A	N/A	Unverified	PAC-3 production ramp	Medium	Sole-source Patriot missile ablatives but zero SpaceX connection; 72% customer concentration; defense not space
STLD	5	Commodity / Indirect	18	AVOID	184.26	N/A	N/A	Probable	Steel cycle	Low	Probable Starship stainless supplier but commodity steel with zero lock-in; SpaceX demand is rounding error on $18.2B rev
GHM	18	Duopoly Chokepoint	68	HOLD	85.62	N/A	N/A	Confirmed	Navy subs + commercial space	Medium	Barber-Nichols designed original Merlin turbopump; 6 space customers; $515M backlog; zero debt; stock already 3x'd
AVGO	4	Commodity / Indirect	15	AVOID	306	N/A	N/A	Unverified	AI custom silicon	Low	Wrong chip company — Starlink's confirmed partner is STMicro not Broadcom; zero verified Starlink exposure
TXN	7	Commodity / Indirect	20	HOLD	190	N/A	N/A	Confirmed	Analog cycle recovery	Low	Confirmed in BOM (DC/DC converters) but sub-$1 commodity parts; Starlink is <0.01% of $17.7B revenue
DIOD	7	Commodity / Indirect	18	AVOID	73	N/A	N/A	Confirmed	Cyclical recovery	Low	Confirmed shunt regulators on Starlink power board but $0.20 commodity part; zero pricing power
014300.KS	16	Duopoly Chokepoint	52	HOLD	70000	55000	-21%	Confirmed	Temple TX plant Q3 2026	High	DOWNGRADED: stock 4x'd to KRW 70K+, now 27% ABOVE analyst consensus; was BUY at KRW 21K (0.39x P/B); at 44-48x P/E, priced for perfection; wait for pullback to KRW 45-55K
NIC.AX	6	Commodity / Indirect	12	AVOID	0.90	N/A	N/A	Indirect	Nickel price	Medium	Commodity nickel miner; SpaceX link is two degrees of separation via Sphere Corp JV
3491.TWO	19	Duopoly Chokepoint	72	HOLD	1665	1209	-27%	Confirmed	LEO +150% rev 2026E	Very High	CONFIRMED SpaceX RF; LEO 53%→80%; 150% rev growth guided 2026; BUT stock at TWD 1,665 = 205x P/E; Goldman PT 2,007; parabolic +288% YoY; GM 51%
2313.TW	17	Duopoly Chokepoint	50	HOLD	270	120	-56%	Confirmed	LEO satellite PCB demand	Very High	80% LEO PCB share; BUT stock at TWD 270 = ATH, RSI 71 overbought, +339% YoY; analyst targets 107-136 (50-60% below); SpaceX Bastrop PCB factory targeting Q3 2026; EXTREME overvaluation
6271.TW	18	Duopoly Chokepoint	68	BUY	133.50	N/A	N/A	Speculated	Exclusive RF transceiver rumor	High	Rumored exclusive SpaceX RF transceiver packager; ceramic substrate specialist; highest theoretical chokepoint if true
