ticker	chokepoint_score	chokepoint_tier	score	verdict	price	target	upside	moat	catalyst	risk_level	chips_status	chips_detail	one_liner
COHR	15	Oligopoly with Moat	65	HOLD	256	200	-22%	Strong	1.6T ramp + NVIDIA partnership	Medium	PROPOSED+R&D	Up to $79M Easton PMT + up to $33M Sherman InP PMT + $15M CLAWS Hub	Best photonics portfolio for AI but priced beyond consensus; wait for pullback
LITE	21	Monopoly Chokepoint	70	HOLD	729	500	-31%	Very Strong	NVIDIA $2B deal + $8B revenue target	High	NONE	No direct or CHIPS-linked award found in latest official sweep	Laser chip king of AI optics; dominant but priced for perfection at 62x fwd P/E
AAOI	12	Oligopoly with Moat	59	HOLD	101	70	-31%	Moderate	$200M+ 1.6T order + 3.5x DC rev growth	High	NONE	No direct or CHIPS-linked award found in latest official sweep	Under-discovered AI optics dark horse; US mfg moat, zero debt, but still unprofitable
FN	20	Duopoly Chokepoint	71	HOLD	506	450	-11%	Strong	NVIDIA sole-source 1.6T + 50% capacity expansion	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Best risk-adjusted AI photonics play; fortress balance sheet, agnostic winner
POET	9	Competitive / Linked	35	AVOID	5.93	N/A	N/A	Speculative	Prototype demos H1 2026 + CPO optionality	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	Interesting tech but pre-revenue with extreme execution risk; revisit at >$10M quarterly rev
CIEN	13	Oligopoly with Moat	69	HOLD	340	300	-12%	Strong	WL6e ramp + $5B backlog + margin expansion to 17%	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Optical networking leader with $7.8B orders; wait for margin proof or pullback
LASR	9	Competitive / Linked	49	AVOID	N/A	N/A	N/A	Moderate	Defense laser strength + AI photonics narrative	High	NONE	No direct or CHIPS-linked award found in latest official sweep	Defense laser co riding AI hype; no data center revenue to justify 13x sales valuation
VIAV	10	Competitive / Linked	69	HOLD	33.73	30	-11%	Moderate-Strong	AI test demand + margin expansion + restructuring	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Under-discovered test & measurement play; cheapest AI photonics exposure at ~5x sales
MKSI	10	Competitive / Linked	57	HOLD	N/A	N/A	N/A	Moderate	Semi capex cycle + Photonics division	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Indirect AI photonics via semi equipment; reasonable value but not a targeted play
IPGP	9	Competitive / Linked	45	AVOID	115	N/A	N/A	Moderate	Defense laser pivot + cyclical recovery	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Industrial fiber laser leader but wrong market; no AI data center exposure
AXTI	20	Duopoly Chokepoint	47	AVOID	N/A	N/A	N/A	Strong but Fragile	InP capacity expansion July 2026	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	Owns 60-70% of InP substrate bottleneck but China mfg risk + unprofitable + extreme volatility
MTSI	19	Duopoly Chokepoint	76	BUY	255	300	+18%	Strong	Raised growth to 35-40% + 1.6T component ramp	Medium	PROPOSED	Up to $70M PMT for Lowell/Durham GaN-GaAs expansion	Best under-discovered AI photonics name; 57% gross margins, analog IC moat, data center +48%
SIVE.ST	12	Oligopoly with Moat	46	AVOID	N/A	N/A	N/A	Emerging	POET demos + O-Net ELS + LiDAR ramp Q4	Very High	R&D	NEMC / Microelectronics Commons awards; $11.6M first-half signed, ~$30M potential over 3 years; Wireless division	InP DFB laser micro-cap; real tech, credible partners, but pre-profit and pre-scale
SOI.PA	23	Monopoly Chokepoint	65	HOLD	59	50	-15%	Very Strong	Tower 5x SiPh expansion + photonics-SOI €100M+	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Hidden photonics monopoly at 2.7x sales; 70% SOI share but mobile weakness masks story
CRDO	23	Monopoly Chokepoint	82	BUY	100	170	+70%	Very Strong	53% pullback + 1.6T Bluebird DSP + 200G AEC	Medium-High	NONE	No direct or CHIPS-linked award found in latest official sweep	88% AEC monopoly, 68% GM, 200% growth, pulled back from $214; 67% customer concentration risk
TSEM	23	Monopoly Chokepoint	75	BUY	164	200	+22%	Very Strong	5x SiPh capacity + NVIDIA collab + margin expansion	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	85% SiPh foundry share; TSMC of photonics. $920M expansion 70%+ reserved. Soitec sole supplier.
5802.T	18	Duopoly Chokepoint	58	HOLD	9214	N/A	N/A	Moderate	EML demand + fiber buildout	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Japan conglomerate with EML/fiber exposure; not a pure play but cheap at 13-15x P/E
300308.SZ	17	Duopoly Chokepoint	79	BUY	579	700	+21%	Very Strong	1.6T 5x demand ramp + NVIDIA/Google dominance	High	NONE	No direct or CHIPS-linked award found in latest official sweep	World's largest transceiver co; 50%+ NVIDIA share, 43% GM, 28% net margin. Geopolitical risk.
ANET	14	Oligopoly with Moat	83	BUY	131	175	+33%	Exceptional	AI rev +100% to $3.25B + 800G leadership	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	Demand signal for all photonics; 64% GM, 43% OPM, $10.7B net cash, $4.25B FCF. Franchise.
300502.SZ	16	Duopoly Chokepoint	68	HOLD	N/A	N/A	N/A	Moderate-Strong	800G/1.6T ramp + NVIDIA #2 supplier	High	NONE	No direct or CHIPS-linked award found in latest official sweep	#2 Chinese transceiver co; +179% growth but $50B at 22x sales is steep vs Innolight
6503.T	19	Duopoly Chokepoint	55	HOLD	N/A	N/A	N/A	Strong in EML	3x optical capacity by FY28	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	50% global EML share but buried in ¥5.5T conglomerate; Lumentum better for EML exposure
MRVL	17	Duopoly Chokepoint	79	BUY	88	120	+36%	Very Strong	Celestial AI + 1.6T Ara DSP + custom silicon ramp	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Boldest photonic bet in semis; $3.25B Celestial AI + 50+ custom AI programs. $116 consensus.
GFS	19	Duopoly Chokepoint	62	HOLD	N/A	N/A	N/A	Moderate-Strong	SiPh doubling + AMF + China-free supply chain	Medium	FINAL+AMENDED	Up to $1.5B final + $75M amended Malta photonic packaging award	#2 SiPh foundry; $200M→$1B SiPh target but legacy foundry drag. Cheap at 3.8x sales.
